Subject,Catalog Number,Title,Professors
KIN,754,Health Sci Writing and Comm,Brian Schilling
LAS,100,Intro Latina/o Studies,"Briceida Hernandez-Toledo, David Barragan, Susana Sepulveda, Todd Martinez"
LAS,101,Intro Latin American Stud,"David Barragan, Sondra Cosgrove"
LDE,313,Leadership & Soc Justice,Argie Mendoza
MATH,20B,Learning Support MATH120E,Adam Koebke
MATH,24B,Learning Support MATH124E,Libo Zhou
MATH,26B,Learning Support MATH 126,Raymond Ahn
MATH,120,Fund Coll Math,"Jacob Blanton, Adam Koebke"
MATH,120E,Fund College Math w Coreq,Adam Koebke
MATH,124,College Algebra,", Libo Zhou"
MATH,124E,College Algebra Expanded,Libo Zhou
MATH,126,Precalculus I,"George Buch, Raymond Ahn"
MATH,126E,Precalculus I Expanded,Raymond Ahn
MATH,127,Precalculus II,Tim Meagher
MATH,132,Finite Mathematics,", Pejmon Sadri"
MBA,761,Accounting for Managers,Ikseon Suh
MBA,769,Applied Econ Analysis,Bradley Wimmer
ME,319,Intro Prog for Mech Eng,Woosoon Yim
ME,337,Engr Measurements,Alexander Barzilov
ME,755,Nuclear Criticality Safety Eng,Charlotta Sanders
ME,757,Rad Monitoring Safeguards,Alexander Barzilov
MED,4000,Patient Script Writing,
MGT,301,Prin Mgt & Organ Beh,"Virgil Fenters, Kirk Silvernail, Sheng Wang, Ashley Weckesser"
MGT,302,Small Business Management,"HILLARY FRASER, James Martin"
MGT,371,Leadership & Managerial Skills,"Kirk Silvernail, Victor Isbell, Richard Gardner"
MGT,492,Adv Org Behavior,"Richard Gardner, Arezou Harraf"
MGT,494,Seminar in Management,Payal Sharma
MGT,497,Business Plan Creation,"Holland Wood, Hans Rawhouser"
MHA,603,Hum Res & Beh Hosp,"Laura Book, Gail Sammons"
MHA,604,Hospitality Org Beh Issues,Gail Sammons
MHA,622,Sociology of Gambling,Daniel Sahl
MHA,627,Gaming Technologies,Mehmet Erdem
MHA,635,Research Methods,"Barbara Richards, Amanda Belarmino"
MHA,640,Marketing Systems,"Tony Henthorne, Patricia Coaley"
MHA,646,Essentials of Negotiation,Todd Uglow
MHA,651,Hospitality Service Management,Roberta Barnes Webb
MHA,663,Current Trends in Gaming Ops,Trent Dang
MHA,681,Independent Study and Research,"Finley Cotrone, Patricia Coaley"
MHA,788,Professional Paper,Christine Bergman
MIL,264,US Military Hist 1770-Present,Charles Dickinson
MIS,761,Business Analytics Mtds,Miyeon Jung
MIS,769,Big Data,Michael Lee
MKT,747,Global Digital Mktg. Strategie,Anjala Krishen
MKT,777,Services Marketing,Elena Pomirleanu
MUS,101,Music Fundamentals,"Erin Wente, Shawna Pennock, Stephanie Council"
MUS,121,Music Appreciation,"Marta Plominska, Dawid Mzyk, Resilda Lala, Richard Miller, Ivan Ivanov, Taylor Crawford"
MUS,125,History Rock Music,"Ryan Bond, Sam Wetzel, Kevin Johnson, Timothy Jones, Kyle Bissantz, Dean Gronemeier, Gabriela Ordonez Villalobos, Yupeng Wei"
MUS,131,Intro to Music Lit,Jonathan Lee
MUS,139E,Music Tech for Educators,Gilbert Kaupp
MUS,346,Jazz & Comm History II,Juan Mata-Alvarez
MUS,640,Found Prin Mus Educ,Eugenie Burkett
MUS,641,Studies Mus Curr,Eugenie Burkett
MUS,672,Research Proj in Music Ed,Amy Brown
MUS,719,Tchg Mus in Higher Ed,Richard Miller
NURS,140,Medical Terminology,", Leland Rockstraw, Melva Thompson-Robinson, James Stimpson, Karen Eisenberg"
NURS,200,Stats for the Health Sci,", Du Feng"
NURS,299,Nutr Devel Lifespan,", Jennifer Pfannes, Mina Attin, Dianne Cyrkiel, Kathleen Thimsen, Dieu-My Tran, Karen Eisenberg"
NURS,306,Pathopharm I,", Mary Bondmass"
NURS,320,Pathopharm II,", Angela Silvestri-Elmore, Nirmala Lekhak, Mary Bondmass"
NURS,325,Prof Communication,", Roseann Colosimo"
NURS,420,EBP and Research in Nsg,"Dieu-My Tran, Hyunhwa Lee, Kathryn Woeber"
NURS,710,Eval Strat for Nsg Ed,Necole Leland
NURS,711,Informatics and Qual Improve,"Catherine Dingley, Leland Rockstraw, Susan Vanbeuge, Andrew Reyes"
NURS,718,"Organizational Management, NPs",Susan Vanbeuge
NURS,730,Adv Pharm and Gen II,"Cheryl Maes, Alena Grewal"
NURS,733,Nursing Education Practicum I,Mary Bondmass
NURS,740R,FNP Adult and Women's Health,"Imelda Reyes, Cheryl Maes, Minnie Wood, Aaron Bellow, Alena Grewal"
NURS,768,DNP Forum,Susan Vanbeuge
NURS,779,Grant Writing,Candace Burton
NURS,785,Sp Topics Nurs Research,", Candace Burton"
NURS,788,DNP Project,", Kathleen Thimsen, Leslie Jeter"
NURS,794,PMHNP I,Rhigel Tan
NURS,797,Dissertation,", Rebecca Benfield, Candace Burton, Roseann Colosimo, Angela Silvestri-Elmore, Jinyoung Kim, Du Feng, Hyunhwa Lee, Reimund Serafica, Jennifer Vanderlaan, Andrew Reyes"
NUTR,121,Human Nutrition,"Dawn Matusz, Laura Kruskall, Lisa Victorine, Samantha Coogan, Leah Hanson"
NUTR,301,"Nutr,Health & Ethn Issue",Samantha Coogan
NUTR,311,Nutrition Assessment,Leah Hanson
NUTR,311L,Nutrition Assessment Lab,Leah Hanson
NUTR,326,Principles of Food Science,Dawn Matusz
NUTR,340,Intro Sports Nutr,"Laura Kruskall, Samantha Coogan"
NUTR,408,"Nutrition, Food & Policy",Dawn Matusz
NUTR,427,Med Ntr Therapy II,Samantha Coogan
NUTR,431,Seminar in Nutrition,Laura Kruskall
NUTR,450,Nutritional Pathophysiology,Leah Hanson
NUTR,631,Seminar in Nutrition,Laura Kruskall
NUTR,794,Prep for prac nutr diet,Laura Kruskall
OCT,705,Distance Education,Janeene Sibla
OCT,711,Capstone II,Janeene Sibla
PAF,713,Research in Public Affairs,Magdalena Martinez
PBH,165,Pers Hlth Acrs Lifespan,", Justin Keane, Charles Regin, Sanae El Ibrahimi, Kathleen Ksobiech"
PBH,200,Multicultural Health,"Kathleen Ksobiech, Jose Melendrez"
PBH,202,Intro Epidemiology,"Timothy Bungum, Ann Vuong, Karen Callahan"
PBH,205,Intro to Public Health,"vincent quiroz, , Sheila Janofsky, Krystal Kittle, Timothy Bungum, Noehealani Bareng-Antolin, Emylia Terry, Helena Berlin, Kathleen Ksobiech, Diane Samuel, Courtney Coughenour, Karen Callahan, Ann Vuong, Aishia Henderson, Keishmer Cardoso, Douglas Taylor, Jennifer Pharr, Kelly Webber, Aaron Hunt"
PBH,210,Principles of Health Promotion,", Kelly Webber, Jason Flatt"
PBH,225,History of Public Health,"Kathleen Ksobiech, Timothy Bungum"
PBH,330,Global Health,"Jennifer Pharr, Louisa Messenger"
PBH,340,Built Environment and Health,Alyx Phillips
PBH,365,Pub Hlth Biostatistics,Jihye Kim
PBH,407,Stress Management,Charles Regin
PBH,424,Tching Elem School Health,"Carissa Wolff, Jennifer Shaps"
PBH,429,Education for Sexuality,"Amanda Morgan, Raymond Rodriguez"
PBH,435,Hlth Studies Drugs,"YING GUO, Sheila Janofsky, Timothy Grigsby, Raymond Rodriguez"
PBH,440,Prgm Plan and Eval,Amanda Haboush-Deloye
PBH,445,Food and Health,"Sheila Janofsky, Kelly Webber"
PBH,460,Human Ecology,Melissa Marshall
PBH,495,Capstone,Charles Regin
PED,307,Eval Phys Ed,Chia-Liang Dai
PEX,156,Body Weight Bootcamp,Micah Kidd
PEX,161,Pilates I,Courtney Burk
PGM,178X,Intro to Club & Golf Mgmt,Brian Jones
PGM,462,PGM Internship IV,Brian Jones
PHIL,101,Intro to Philosophy,"Keith Hess, Jasmin Ozel, Jaywilliam Honenberger, Amy Reed-Sandoval, John Ludes, Allison Roth, Jesse Fitts, Kenneth Hochstetter"
PHIL,102,Crit Thinking & Reasoning,"Ian Dove, Shuktika Chatterjee, James Wallis, Jaywilliam Honenberger, Sandeep Dhillon, Shandon Guthrie, Gerald Voltura, Christopher Sevier, Ronald Wilburn, John Ludes, Erik Lindland, Norman Rauls, Robert Shanab, Marlisa Moschella"
PHIL,114,Intro to Symbolic Logic,"Sandeep Dhillon, Preston Stovall, Jasmin Ozel"
PHIL,124,Phil Tradit of Asia,"Shuktika Chatterjee, Sandeep Dhillon"
PHIL,130,Topics in Phil/Relgn,"Ronald Wilburn, Jasmin Ozel"
PHIL,135,Intro to Ethics,"Allison Roth, Cheryl Abbate"
PHIL,203,Existentialism,Erik Lindland
PHIL,242,Ethics Engners/Scientists,"Beth Seacord, John Min, James Broucek, Erik Lindland, Jason Matteson, Cheryl Abbate"
PHIL,249,Environmental Ethics,"Jaywilliam Honenberger, Ronald Wilburn"
PHIL,422,Advanced Logic,"David Beisecker, Jesse Fitts"
PHYS,151A,General Physics I,Timothy Porter
PHYS,151L,General Physics I Lab,Rachel Ellis
PHYS,152A,General Physics II,Timothy Porter
PHYS,152L,General Physics II Lab,Rachel Ellis
PSC,100,Nevada Constitution,", Autoosa Kojoori, Melanie Young, Martha Phelps, Donald Mirjanian, Jeremy Bowling, Nerses Kopalyan"
PSC,101,Intro Amer Politics,", Katherine Eugenis, Martha Phelps, Jeremy Bowling, Daniel Lee, Nerses Kopalyan, David Damore, Tiffiany Howard"
PSC,211,Intro to Comparative Politics,"Jeremy Bowling, Christian Jensen"
PSC,231,Intro to Int'l Relations,"John Tuman, Nerses Kopalyan, Jeremy Bowling"
PSC,332,Judicial Process,Rebecca Gill
PSC,405U,International Security,Tiffiany Howard
PSC,407E,Politics in Latin America,John Tuman
PSC,499,Senior Seminar,Rebecca Gill
PSY,101,Gen Psych,"Kevin Mohawk, Michelle Strong, Karolyne Stucki, Amanda Mraz, Raymond Lopez, Lianne Barnes, Melanie Rede, Kirsty Kulhanek, Samantha Sherwood, Rhiannon Soriano Smith, Jackson Pelzner"
PSY,200,Intro to the Psychology Major,"David Copeland, Amanda Mraz"
PSY,210,Intro Statistical Methods,"Russell Hurlburt, Joanne Ullman"
PSY,240,Research Methods,"Andrea Fink-Armold, Ashley Poston, Joanne Ullman, Andrew Cummings, Gloria Wong, Melissa Gregg"
PSY,303,Foundations of Neuroscience,"Amanda Pasinski, Julia Maietta"
PSY,305,Foundations of Perception,"Antonia Vitela-Elliott, Melissa Gregg, Andrea Kayl, Meghan Pierce"
PSY,308,History of Psychology,"Melissa Gregg, Stephanie Verba-Quinones"
PSY,316,Foundations of Cognitive Psych,"Krystal Kamekona-Mendoza, Stephanie Verba-Quinones, Brian Uldall, Kirsty Kulhanek"
PSY,330,Dev Psy: Infant and Child,"Margaret McMullin, Michelle Strong, Rodica Constantine, Jennifer Rennels, Melissa Gregg, Andrea Kayl, Jared Leslie"
PSY,334,Dev Psy: Adol & Adult,"Andrew Cummings, Lianne Barnes"
PSY,341,Abnormal Psychology,"Christopher Kearney, Nicole Short, Samantha Sherwood, Mirae Fornander"
PSY,350,Intro Industrial/Org Psy,Jeannine Klein
PSY,360,Foundations Social Psychology,"Andrea Fink-Armold, Anthony King, Taylor Oliver, Amber Williams, Brian Uldall, Murray Millar"
PSY,420,Psychology Learning,Amanda Pasinski
PSY,431,Multicultural Psych,"Gloria Wong, Lianne Barnes"
PSY,433,Culture and Pers,Paul Nelson
PSY,442,Psychology of Aging,"Jeannine Klein, Amanda Pasinski, Brenna Renn"
PSY,446,Human Neuropsychology,Janice Mcmurray
PSY,466,Dimensions of Human Sexuality,"Renato Liboro, Taylor Oliver"
PSY,470,Health Psychology,Andrew Cummings
PSY,481,Prin Psy Assessment,"Daniel Allen, Julia Maietta"
PSY,490,Capstone Psych,"Andrea Fink-Armold, Krystal Kamekona-Mendoza, Michelle Strong, William Ridgway, Paul Nelson, Andrew Cummings, Andrea Kayl"
PUA,701,Governance & Urban Community,", Kirsten Dinicola"
PUA,703,Sem Organiz Theory,", Kirsten Dinicola"
PUA,705,Public Goods and Public Financ,Jayce Farmer
PUA,723,Research Methods,", Lawrence Mullen"
PUA,776,Development for Npos,Brittany Dupree
RADG,2000,Radiology Learning Modules,
SCM,352,Operations Mgmt,", Michael Mejza, Keah-Choon Tan"
SOC,101,Principles of Sociology,", Foster Kamanga, Barbara Brents, Elizabeth Lawrence, Aiemie Pace, Dante Miller, Christie Batson, Jennifer Stevens, Daniel Okamura, Robert Parker, Jaimee Nix, Josiah Kidwell, Jared Weissman, Stephanie Landeros, Kerie Francis, Camisha Fagan, Cassaundra Rodriguez, Joshua Corum, Celene Fuller"
SOC,102,Contemporary Socl Issues,"Robert Parker, Courtney Carter"
SOC,403,Tech Soc Research,"Elizabeth Lawrence, Lillian Jungleib, Christie Batson"
SOC,413,Sociology of Sport,Robert Futrell
SOC,431,Crime Crim Behavior,"Chenghui Zhang, Jason Scott"
SOC,441,Social Inequality,"Jeannette Hernandez, Christian Lewis"
SOC,447,Marriage and Family,", Fatima Suarez, Allison Sahl, Cassaundra Rodriguez, Kerie Francis, Christie Batson"
SOC,449,Sex and Soc Arrang,", Joshua Corum"
SOC,466,Soc of Medicine,Tirth Bhatta
SOC,469,Global Migrations,Robert Parker
SOC,474,Sociology Religion,"Josiah Kidwell, Michael Borer"
SOC,489,Capstone Sociology,Christie Batson
SPAN,113,Elementary Spanish I,Victor Sanchez
SPTM,420,Internship Sport Mgt,Michelle Coyner
SW,101,Intro to Social Work,"Cheryl Johnston, Caleb Orton, Zona Thompson, Delayna Tonogan, Toni Chance"
SW,315,Human Behv & Soc Envirn I,"Cheryl Johnston, Ivet Aldaba"
SW,475,Treatment of Addictions,An-Pyng Sun
SW,675,Treatment of Addictions,An-Pyng Sun
SW,703,Social Welfare Policy II,Vicky Albert
SW,726,Swk Research II,An-Pyng Sun
SW,730,Macro Theory and Practice,Stephen Anderson
SW,750,Dir Prac II,Anne Abruscato
SW,765,Financial Management,Thomas Mclaughlin
SW,770,Mcp II,Vicky Albert
SW,778,Trauma-informed Practice,Anne Abruscato
SW,782,TIP Policy,Cheryl Johnston
SW,790,TF Family-based Practice,Anne Abruscato
TCA,311,Event Sales & Marketing,Heather Willden
TCA,331,Asian Tourism,"Christine Bergman, Garrett Harper"
TCA,449,International Tourism,"Tony Henthorne, Solbi Lee, Barbara Richards"
TESL,752,Methods and Curriculum for ELs,", Wendy Dunn-Gammarano, Pamela Madrid"
TESL,759,EL Seminar,Sharolyn Pollard-Durodola
ULD,720,Urban Governance,", Layke Martin"
ULD,722,Urban Issues,Timothy Burch
ULD,735,Desgn Thinkng for Urban Issues,", Shauna Guillen"
ULD,742,Soc Media and Comm Tech,Benjamin Morse
ULD,754,Collaborative Leadership,", Brian Elms"
ULD,780,Legacy Project,", Shauna Guillen"
URST,241,Govern in the United States,", Traci Decker, Miranda Barrie"
URST,301,Theories Urb Com,", Karen Danielsen-Lang"
URST,303,Intro to Urb and Dem,", Zohreh Bang Tavakoli"
URST,305,Data Analysis for URST,"Helen Neill, "
URST,310,Urban Policy Analysis,Eddie Estrada
URST,405,Diverse in URB AM,", Joshoel Ortega"
URST,425,Pub Resources Management,Cameo Prado
URST,441,Intergov in Urban Studies,Christopher Stream
URST,498,URST Capstone,"Helen Neill, "
WMST,101,Intro to Women's Studies,"Claudia Chiang-Lopez, Sreshtha Sen, Valerie Taylor, Danielle Roth-Johnson, Cody Gambino, Lynn Comella"
WMST,113,"Gender, Race, & Class","Javon Johnson, Andre Wade, Juan Espinoza, Valerie Taylor, Niccole Ariegwe, Marilyn Delmont, Constancio Arnaldo"
ANTH,103,Evolution of Everything,Brian Villmoare
ANTH,400C,Southwest Native Americans,Karen Harry
ANTH,422,Psychological Anth,William Jankowiak
ANTH,436,History of Anthro,"Pierre Lienard, Nicholas Barron"
ART,107,Design Fund I,", Sean Slattery"
ART,266,Survey of Art History III,
ART,436,Alternative Photo Process,
ART,480*,Art of China,
ART,481,Art of Japan,", Aya Mcdonald"
CED,250X,School Based MH Careers,Kimberly Tureaud
CED,310,Lifespan Relationships,
CED,315,Counsel Skills in Svcs,Tam Villar
CED,375,Eth/Prof Issues Hum Serv,
CED,701,Intro to Counseling,
CED,704,Grief and Loss Counseling,
CED,722,Intro to Child Coun Play Thrpy,
CED,731,MSJC,
CED,732,Adv Multi Counseling,
CED,735,Addictions Counseling,
CED,736,Human Sexuality,
CEE,468,GIS Applications Civil Eng,", Haroon Stephen"
CEE,482,Design Timber Structures,Christopher Parker
CEE,668,GIS Appl in Civil Engr,", Haroon Stephen"
CEE,682,Design Timber Structures,Christopher Parker
CEE,695,Special Topics,
CFT,350,Human Sexuality,Tamara Zenner
CIE,629,Curr Dev Elem Math Educ,Travis Olson
CIG,602,Differentiated Curr&Instr,Michelle Arroyo
CIG,649,Soc Studies Educ Seminar,Gregory Levitt
CIG,684,Data Literacy,Jori Beck
CIG,687,Coaching Practices,Peter Wiens
CIG,720,Prin Mathematics Learning,Travis Olson
CIG,782,School Climate,
CIG,783,Thry Resch Sch Math,Travis Olson
CIG,787,Indv Inst Elem Math,Micah Stohlmann
CIL,600,Tpc Lit Educ,April Douglass
CIL,641,Instr Eng & Lang Arts,Kenneth Varner
CIL,684,Multicultural Literature,
CIS,629,Curr Dev Sec Math Educ,Travis Olson
CIT,649,Instr Mthd Computer Appl,Kendall Hartley
CIT,651,Instr Mthds Cmptr Science,Kendall Hartley
CME,705,Multicultural Education,Christine Clark
COM,317,Organizational Comm,"Rebecca Rice, Laura Martinez"
COM,318,Audience Communication,Emma Bloomfield
COM,328,Interviewing & Self Present,Rebecca Rice
COM,404,Prin of Persuasion,"Emma Bloomfield, Donovan Conley"
COM,604,Prin of Persuasion,Emma Bloomfield
CPE,200,Digital Logic Design II,
CPE,200L,Digital Logic Design II Lab,
CPE,300,Dig Sys Arch & Des,
CPE,302,Syn and Verify using PDs,
CPE,407,Biometrics & Machine Learning,
CRJ,164,Princ of Investigation,", Megan Sloan"
CRJ,405,Hist of Crim Just,
CRJ,411*,Comparative Crj Sys,
CRJ,450,Sem in Crim Justice,", Joshua Donnelly"
CRJ,460*,Pub Pol Crime Crim Just,
CRJ,480,Law & Social Control,
CS,202,Computer Science II,Paul La Plante
CS,437,Building Cloud Apps,Fatma Nasoz
CS,437,Building Apps in the Cloud,Fatma Nasoz
CS,443,Information Assurance,", Ju-Yeon Jo"
CS,637,Building Apps in the Cloud,Fatma Nasoz
CS,643,IInformation Assurance,", Ju-Yeon Jo"
CSEC,600,Intro to Cybersecurity,Ju-Yeon Jo
CSEC,734X,Cyber at US Level,Nicholas Multari
ECE,709,Invstg E Chldhd Ed,Jeffrey Gelfer
ECEM,735,Cyber Lab,
ECG,607,Biometrics,
ECO,502,Intermed Microeconomics,Andrew Bibler
ECO,641,Intro to Econometrics,Ian Mcdonough
ECON,262,Principle Statistics II,Djeto Assane
ECON,302,Intermed Microeconomics,Andrew Bibler
ECON,441,Intro to Econometrics,Ian Mcdonough
EDEL,495,Elem Education Topics,
EDH,703,Hist Am Higher Ed,"Blanca Rincon, "
EDH,732,Read Adm of Hgr Ed,
EDRL,425,Tch Writing Sec Schls,Mark Rincon
EDSC,413A,Teach Sec Arts: Art,Chad Scott
EDSP,464,Int Inst through MTSS,
EDW,539,Methods Teach Workforce Ed,Denise Burton
EDW,575,Performance-Based Education,Xue Xing
EDW,692,DEIA in Career Education,Xue Xing
EDW,768,Grants in Education,Xue Xing
EDWF,439,Gen Meth Workforce Ed,Denise Burton
EDWF,475,Career Dev & Wrk Bsd Strt,Xue Xing
EE,221,Circuits II,
EE,221L,Circuits II Lab,
EE,320,Electronics I,
EE,320L,Electronics I Laboratory,
EE,360,Signals & Systems I,
EE,361,Signals and Systems II,
EE,370,Control Systems I,
EE,450,Solid State Devices,
EMHA,702,Epidemiology in Hlth Serv Mgmt,Brian Labus
EMHA,710,Pub Hlth Fund for HC Leaders,Kristin Steffen
EMHA,761,Hlthcare Law Ethics for Mngrs,Sheila Evans
ENG,271,Intro to Shakespeare,KATHERINE WALKER
ENG,285,Intro. to Latinx Lit.,Vincent Perez
ENG,400,Document Design,"Jeffrey Jablonski, MELISSA CARRION"
ENG,425A,Themes of Literature,"Jarret Keene, Siddharth Srikanth"
ENG,426B,Mythology,Amy Green
ENG,434B,Shakesp Comed/Hist,KATHERINE WALKER
ENG,445B,Victorian Poetry,Christopher Decker
ENG,449A,British Literature I,
ENG,449B,British Literature II,", Christopher Decker, Beth Rosenberg"
ENG,451A,American Literature I,John Hay
ENG,460,Amer Short Story,Maile Chapman
ENG,462C,Modern American Poetry,Claudia Keelan
ENG,473B,Mod Am Novel,Emily Setina
ENG,486B,Postcolonial Literature,Beth Rosenberg
ENG,625A,Themes of Literature,"Jarret Keene, Siddharth Srikanth"
ENG,634B,Shakesp Comed/Hist,KATHERINE WALKER
ENG,645B,Victorian Poetry,Christopher Decker
ENG,660,Amer Short Story,Maile Chapman
ENG,662C,Modern American Poetry,Claudia Keelan
ENG,673B,The Modern American Novel,Emily Setina
ENG,791,Coll Tch Lang Lit,Kaitlin Clinnin
EOH,730,Inf Prev Prog Oview,David Woodard
EPP,730,Consultation,
EPP,770,Systems Change,
EPP,772,Psychological Science,
EPP,775,Child & Youth Crisis,
EPP,777,Family-School,
EPP,793,Advanced Prac,
EPY,712,Foundation Lrn & Cogn,Edward Nussbaum
ESP,709,Diag Pre Assess Div Lernr,Joseph Morgan
ESP,728,Theory of Ply Dev,
ESP,734,Voc & Car Ed Disab Trans,
ESP,755A,Med Related Dis: Lifespan,
ESP,773,Assmt Young Child Disab,
ESP,775,Strat Early Chld Sp Ed,Nathan Rendon
FAB,290,Bar Operations Management,Mohsen Azizsoltani
FILM,110,Lang of Film,Kynan Dias
FILM,300,Film Criticism,Rodabeh Boroumand
FILM,416,Screenwriting I,Laurene Debord-Foulk
FILM,417,Screenwriting II,Laurene Debord-Foulk
FIN,102X,Personal Fin. Literacy,"Yousif Muradian, Darwin Hopwood"
FIN,307,Investments,"Lamindy Joseph, "
FIN,308,Intern Fin Mgt,Jianzhong Zhang
FIN,312,Money and Capital Markets,
GAM,470,Quan Meth/App Casino Gam,"Ashok Singh, Richard Carlson"
GRC,365,Web Design,Richard Adams
GRC,380,Design & Media Studio II,Michael Fong
HCA,431,Quality Mgmt in HCO,Maire Simington
HCA,452,Health Politics & Policy,Christopher Cochran
HCA,493,HCA Practicum,Kurt Houser
HCA,631,Quality Management in HSOs,Maire Simington
HCA,652,Hlth Pol & Policy,Christopher Cochran
HCA,716,Healthcare Acct & Finance,Soumya Upadhyay
HIST,105,European Civ to 1648,"John Haberstroh, Joanna Kepka"
HIST,106,European Civ Since 1648,Gregory Brown
HIST,151,Intro Japanese Civ,Edgar Weir
HIST,330,Great Cities in History,Gregory Brown
HIST,375,Topics in Sports History,Kendra Gage
HIST,406B,Am West Since 1849,Andrew Kirk
HIST,415A,US Gilded Age 1877-1900,William Bauer
HIST,438A,Amer Indian History to  1851,William Bauer
HIST,606B,Am West Since 1849,Andrew Kirk
HIST,615A,US Gilded Age 1877-1900,William Bauer
HIST,638A,Amer Indian Hist To 1851,William Bauer
HMD,203,Front Office Operations,Mehmet Erdem
HMD,351,Internship in Hospitality,Gina Marano
HOA,732,Advance Stats in R,Ashok Singh
HOA,776,Current Issues in Hosp,Joseph Lema
HOA,786,Culminating Experience,Matthew Ryan
HON,410,Special Topics,"Daniel Bubb, Jaclyn Costello, Bryan Blankfield, Jaywilliam Honenberger, Michael Chin"
IB,425,Global Consumer Behavior,Anjala Krishen
IB,480,International Business,", Wonyong Oh"
IPSM,707,Special Topics in Sp Mgt,", Lisa Kelleher"
IS,210,Intro to Program Method,", Sutirtha Chatterjee"
JMS,601,The First Amend & Society,Stephen Bates
JOUR,113,Digital Info. Literacy,Benjamin Burroughs
JOUR,210,Introduction to PR,Benjamin Morse
JOUR,316,Adventure Media,Michael Easter
JOUR,347,Social Networks and Media,
JOUR,375,Social Media Strategies,Jamie Grolle
JOUR,420,Visual Literacy,Julian Kilker
JOUR,447,Virtual Worlds,Benjamin Burroughs
KIN,150,Emergency Management,Michelle Samuel
KIN,309,Essentials of Pers Train,Leonardo Lozano
KIN,346,Biomechanics,Julia Silvernail
KIN,391,Exercise Physiology,James Navalta
KIN,410,Advanced Strength Methods,Erik Wilkins
KIN,475,Sem Sport & Fitness Mgt,Emmanuel Ayim
KIN,490,Internship in KIN,Emmanuel Ayim
KIN,614,Enh Mental Motor,Harjiv Singh
LDE,201,Intro to Leadership,", Elizabeth Leon"
MAT,680,College Geometry,
MAT,789,Topics Adv Math,
MATH,480,College Geometry,
MBA,763,"Leadership,Teams,& Individuals",John Baur
ME,756,Monte Carlo Methods in NE,Charlotta Sanders
ME,761,Prob Risk Assess (PRA),Charlotta Sanders
MGT,367,Human Resource Mgt,"Garold Alder, Victor Isbell"
MGT,480,International Mgmt,"Wonyong Oh, Huston Pullen"
MGT,740,Effective and Applied HRM,Garold Alder
MIS,740,Software Concepts,Han-Fen Hu
MIS,746,Is Project Mgt,Maynard Grant
MIS,766,Database,Han-Fen Hu
MKT,301,Marketing Management,"Marla Stafford, Gillian Naylor"
MKT,380,Marketing Digital Exper,Brandie Feuer
MKT,425,Global Consumer Behavior,Anjala Krishen
MKT,472,Marketing Plan & Analysis,Kimberly Nehls
MUS,134*,Jazz Appreciation,Lara Smith
MUS,770,Seminar Spec Topics,Richard Miller
NURS,712,Management & Perf. Improve.,Paul Thomas Clements
NURS,714,Fam Thry and Hlth Promotion,Hyunhwa Lee
NURS,719R,Policy Adv Practice,"Jennifer Vanderlaan, Paul Thomas Clements"
NURS,724,Dev & Eval Curric for Nurs Ed,Reimund Serafica
NURS,735,Healthcare Outcomes Management,Paul Thomas Clements
NURS,743,Nursing Education Practicum II,Necole Leland
NURS,748,Team Science,Catherine Dingley
NURS,750R,FNP Children and OB,Alena Grewal
NURS,753,Nurse Ed Scholarship Project,Lorraine Evangelista
NURS,767,Collaboration & Negotiation,Aaron Bellow
NURS,772,The Nurse as Leader,Rebecca Benfield
NURS,777,Indvd Stu/Dissertatn Sem,", Barbara St Pierre Schneider"
NURS,789,Independent Study,", Jennifer Vanderlaan"
NURS,796,Psychopharmacology II,Rhone D'Errico
NUTR,407,Compl & Integ MNT,"Arpita Basu, Leah Hanson"
NUTR,607,Compl & Integ MNT,"Laura Kruskall, Arpita Basu"
OCT,702,Leadership and Advocacy,Janeene Sibla
OCT,707,Evidence Based Education,Janeene Sibla
OCT,741,Prof Develop Seminar I,Jose Pablo Castillo
OCT,761,Professional Dev Seminar II,Jose Pablo Castillo
PBH,360,Research Methods,
PGM,162,PGM Internship I,"Brian Jones, Junghoon Lee"
PGM,262,PGM Internship II,Brian Jones
PGM,362,PGM Internship III,Brian Jones
PSC,200,Surv Political Thry,Donald Mirjanian
PSC,302,Research Methods in Psc,Steven Landis
PSC,304,The Legislative Process,Daniel Lee
PSC,403N,Pub Pol Around the World,Christian Jensen
PSC,405Q,Global Ecopolitics,Steven Landis
PSC,407Q,Political Violence/Terror,Tiffiany Howard
PSC,409J,Feminist Theory,Nerses Kopalyan
PSY,342,Forensic Psychology,William Ridgway
PSY,467,Psychology of Gender,Jeannine Klein
PUA,708,Organizational Behavior,", Jessica Word"
RE,332,Real Estate Finance,Shawn Mccoy
RE,334,Real Estate Invest,Nicholas Irwin
SOC,404,Stat Meth Soc Sci,Chenghui Zhang
SOC,421,Classic Soc Theory,Kerie Francis
SOC,429,Globalization,Robert Parker
SOC,445,Men in Society,Fatima Suarez
SOC,459,Soc Dilemmas of Climate Chng,Robert Futrell
SOC,471,Race and Ethnic Relations,"Dante Miller, Courtney Carter"
SOC,666,Soc of Medicine,Tirth Bhatta
SOC,674,Sociology Religion,Michael Borer
SPTM,220,Intro to Sport Management,Michelle Coyner
STA,691,Stat Scientists I,
STAT,491,Stat Scientists I,
SW,104,Perspectives in Aging,Zona Thompson
