Subject,Catalog Number,Title,Professors
COM,102,Intro Interper Comm,"Jenny Farrell, Samantha Schaffer, Ashley Saari, Erika Church"
COM,104,Crit Think in Pub Arg,"Rachel Allen, Craig Hennigan, Stephanie Willes"
COM,211,Survey Rhetorical Studies,"Donovan Conley, Stephanie Willes"
COM,212,Intro to Com Research,", Rachel Allen, Nick Tatum"
COM,216,Survey of Comm Studies,Chloe Powell
COM,314,Health Communication,", Natalie Pennington"
COM,330,Selected Topics in Com Studies,Chloe Powell
COM,332,Online Relationships,", Natalie Pennington"
COM,400,Communication Theory,Tara Emmers-Sommer
COM,408,Rhetorical Criticism,"Emma Bloomfield, David Gruber, Stephanie Willes"
COM,409,The Rhetorical Tradition,Donovan Conley
COM,418,Rhetoric of Science,David Gruber
COM,434,Comm and Conflict Resolution,Tara Mcmanus
COM,634,Conflict Management,Tara Mcmanus
CPE,100,Digital Logic Design I,", Shahram Latifi"
CPE,260,Theory of Systems,Yingtao Jiang
CPE,301,Embedded Systems Design,", Ayemon Baraka, Venkatesan Muthukumar"
CPE,404,Mpa,", Mei Yang"
CPE,405,Coding Systems,Emma Regentova
CRJ,104,Intr Admin of Justice,", Cassandra Boyer, Khaing Lynn, Elena Bejinariu"
CRJ,106,Intro to Corrections,"Alexandra Nur, Bridget Kelly"
CRJ,130,Survey of Criminal Law,", Jason Mitchell"
CRJ,211,Police in America,", William Sousa, Leobardo Lopez-Cristobal"
CRJ,269,Intro to Emergency Mgmt,Dory Mizrachi
CRJ,270,Intro to Criminology,", Terance Miethe, Hong Lu"
CRJ,301,Resh Methods in Crj,", Chelsea Wheeler-Mayo, Kamali'ilani Wetherell, Elena Bejinariu"
CRJ,302,Quant Appl in Crj,", Terance Miethe, Elena Bejinariu"
CRJ,313,Law Police and Community,"Deena DeVore, , Joshua Donnelly"
CRJ,315,Hate Crimes,", Darwin Morgan"
CRJ,400,Theories of Crime,", Emily Troshynski, Christopher Forepaugh"
CRJ,409,Youth Crime and Society,", Randall Shelden"
CRJ,419,Law and Society,", Hong Lu"
CRJ,428,Women and Crime,", Emily Troshynski"
CRJ,432,Crim Justice Proc,", Jason Mitchell"
CRJ,441,Social Science in Law,", Karu Hangawatte"
CRJ,442,Victims of Sex Crimes,", Margaret Kennedy"
CRJ,469,Psych and the Legal Sys,", Joel Lieberman"
CRJ,488X,Corporate Cybersecurity,Chelsea Wheeler-Mayo
CRJ,490,Crime Prevention,Marc Joseph
CRJ,498,Senior Assessment,", Emil Bernick"
CS,115,Introduction to Computers,", Timothy Rafalski"
CS,135,Computer Science I,Alex Staubin
CS,442,Cloud Computing,Jorge Fonseca Cacho
CS,477,Analysis of Algorithms,Wolfgang Bein
CS,642,Cloud Computing,Jorge Fonseca Cacho
CS,677,Analysis of Algorithms,Wolfgang Bein
CS,769,Adv Data Base Mgt,Sidkazem Taghva
DA,621,Prog For Data Analytics,Paul La Plante
DA,622,Prog for Data Analytics II,Jorge Fonseca Cacho
DA,651,Managing Big Data and Web Data,Paul La Plante
DAN,101,Dance Appreciation,"Danylle Smith, Marie-Joe Tabet, Melissa Park, Cathy Allen, Katelin Beckett, Alissa Kuhn, Amber Sorgato, Kimberly Amblad, Indranee Clarke"
DAN,103,"Sex, Dance & Entertainment","Andee DeMarre, Ian Dodge, Danylle Smith, Courtney Burk, Michael Jarett, Danielle Maas, Melissa Park, Keena Smith"
DAN,104,Apprec Dan in Film,"Andee DeMarre, Cathy Allen"
DAN,108,Pilates I,"Melanie Hortin, Kimberly Amblad, Alissa Kuhn"
DAN,110,Dan for Flex & Tone,"Alexis Hansbrough, Kimberly Amblad"
